web.forms.page.error.traffic.jam,"¡Demasiado tráfico! Lo siento, pero no pudimos procesar su solicitud. Por favor, inténtelo de nuevo o actualice su página. (Detalles: {0})","This is the error message that can appear if the server becomes temporarily overloaded. {0} gets replaced with details about the error and must be included in your translation.",,"Added in SCTO_v2.70.8.","Traffic jam! I'm sorry, but we were unable to process your request. Please try again or refresh your page. (Details: {0})"
web.forms.page.filling.generic.error.filetype.name.audio,audio,"This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.",,"Added in SCTO_v2.70.8.",audio
web.forms.page.filling.generic.error.filetype.name.file,archivo,"This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.",,"Added in SCTO_v2.70.8.",file
web.forms.page.filling.generic.error.filetype.name.image,imagen,"This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.",,"Added in SCTO_v2.70.8.",image
web.forms.page.filling.generic.error.filetype.name.video,video,"This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.",,"Added in SCTO_v2.70.8.",video
web.forms.page.filling.generic.error.invalid.file.type,"El archivo ""{0}"" no es un archivo válido {1}. Las extensiones válidas incluyen:  ","This is the error message that appears when you attempt to upload an invalid file type. {0} gets replaced with the filename of the file you're attempting to upload. {1} gets replaced with the expected file type in the current language. Both {0} and {1} must be included in your translation. A list of allowable file extensions (in English) are added to the end of this message.",,"Added in SCTO_v2.70.8.","The file ""{0}"" is not a valid {1} file. Valid extensions include: "
web.forms.page.filling.generic.error.invalid.file.type.executable,"Lo siento, por razones de seguridad, no puede subir un archivo ejecutable.","This is the error that appears when you try and upload an executable file.",,"Added in SCTO_v2.70.8.","I'm sorry, for security reasons, you cannot upload an executable file."
web.forms.page.filling.generic.error.invalid.file.type.mime,"Lo siento, pero este tipo de archivo no está autorizado ({0}).","This is the error message that appears when you attempt to upload a file that is disallowed by the defined MIME types. {0} gets replaced with the supplied invalid file type, and must be included in your translation.",,"Added in SCTO_v2.70.8.","I'm sorry, but that file type is not allowed ({0})."
web.forms.page.filling.generic.error.invalid.response,"Lo siento, ¡esta respuesta es inválida!","This is the error message that appears when the response violates the constraint for the field.",,"Added in SCTO_v2.70.8.","Sorry, this response is invalid!"
web.forms.page.filling.generic.error.missing.media,"Falta el archivo multimedia  ""{0}"".","This is the text that appears if a field is supposed to show a media file, but that media file is missing. {0} gets replaced with the filename of the missing media file and must be included in your translation.",,"Added in SCTO_v2.70.8.","The media file ""{0}"" is missing."
web.forms.page.filling.generic.error.required,"Lo siento, ¡esta respuesta es necesaria!","This is the error that appears when you try and move past a required field without entering a response.",,"Added in SCTO_v2.70.8.","Sorry, this response is required!"
web.forms.page.filling.intro.text.line1,"Está al comienzo de un formulario. Cuando esté listo para comenzar, por favor haga clic en el botón {0} de abajo o a la derecha.","Default message that appears at the beginning of a form.",,,"You are at the start of a form. When ready to begin, please click the {0} button below or to the right."
web.forms.page.filling.intro.text.line2,"Al final, tendrá la oportunidad de enviar sus respuestas.","Default message that appears at the beginning of a form.",,,"At the end, you will have the opportunity to submit your responses."
web.forms.page.filling.popups.no.cookies.line1,"Hemos detectado que ha deshabilitado el soporte de ""cookies"" para este sitio web. Puede hacerlo, pero tenga en cuenta que, sin cookies para rastrear su identidad anónima, no podrá reanudar un formulario parcialmente llenado si su sesión se interrumpe por algún motivo.","The warning message that appears when a user has disabled cookies.",,,"We have detected that you have disabled ""cookie"" support for this website. You can do that, but please be aware that, without cookies to track your anonymous identity, you will not be able to resume a partially-filled form should your session be interrupted for some reason."
web.forms.page.filling.popups.no.cookies.line2,"Además, no copie la URL que está utilizando para completar esta encuesta y no la comparte con nadie. Si lo hace, pueden ver y reanudar su sesión.","The warning message that appears when a user has disabled cookies.",,,"Also, do not copy the URL you are using to fill out this survey and share it with anybody else. If you do, they can see and resume your session."
web.forms.page.session.error.resume.failed,"No se puede reanudar desde la última posición guardada: {0}","This is the error message that appears if you try to resume filling out a form from the last saved position, and an unknown error occurs. {0} gets replaced with the path to the last saved position, which includes the field name and the names of any field groups in which the field is located, and must be included in your translation.",,"Added in SCTO_v2.70.8.","Cannot resume from the last saved position: {0}"
web.forms.page.session.error.resume.point.invalid,"La última posición guardada no ha podido coincidir con un lugar en la encuesta: {0}","This is the error message that appears if you try to resume filling out a form from the last saved position, but the last saved position can't be found in the form. {0} gets replaced with the path to the last saved position, which includes the field name and the names of any field groups in which the field is located, and must be included in your translation.",,"Added in SCTO_v2.70.8.","The last saved position could not match a place in the survey: {0}"
web.forms.page.session.error.resume.point.not.found,"Lo siento, este formulario no tiene una posición guardada desde la cual reanudar.","This is the error message that appears if you try to resume filling out a form from the last saved position, but there is no restore point found.",,"Added in SCTO_v2.70.8.","Sorry, this form doesn't have a saved position from which to resume."
web.forms.page.session.error.session.expired,"Esta página ha caducado probablemente porque ha estado inactivo durante mucho tiempo. Por favor, actualice esta página para continuar.","This is the message that appears if you try to continue filling out a form but the session has expired.",,"Added in SCTO_v2.70.8.","This page has expired probably because you have been inactive for a long time. Please refresh this page to continue."
web.forms.page.session.error.session.lost.message.body.anonymous,"¿Había iniciado una sesión antes? Si es así, haga clic en {0} para iniciar sesión de nuevo. De lo contrario, haga clic en {1} para iniciar una nueva sesión.","When a form session is lost, and you are not logged in, this is the second part of the message that appears. {0} gets replaced with the text from the ""Log in"" button in the current language, and must be included in your translation. {1} gets replaced with the text from the ""Start over"" button in the current language and must be included in your translation.",,"Added in SCTO_v2.70.8.","Were you logged in before? If so, click {0} to log in again. Otherwise, click {1} to start a new session."
web.forms.page.session.error.session.lost.message.body.logged.in,"Por favor, haga clic en {0} para iniciar una nueva.","When a form session is lost, and you are logged in, this is the second part of the message that appears. {0} gets replaced with the text from the ""Start over"" button in the current language and must be included in your translation. ",,"Added in SCTO_v2.70.8.","Please click {0} to start a new one."
web.forms.page.session.error.session.lost.message.prefix,"Lo siento, pero no podemos encontrar su sesión.","When a form session is lost, this is the first part of the message that appears.",,"Added in SCTO_v2.70.8.","I'm sorry, but we can't seem to find your session."
web.forms.page.session.error.session.lost.title,"Se ha producido un error","When a form session is lost, this is the page title for the error page you land on.",,"Added in SCTO_v2.70.8.","An error has occurred"
web.forms.page.login.fill.web.forms.anonymously.button,"Rellenar formularios web de forma anónima","UNUSED: depreciated in SCTO_v2.70.9",,,"Fill web forms anonymously"
web.forms.page.login.or.text,O,"UNUSED: depreciated in SCTO_v2.70.9",,,Or
web.forms.page.login.headline,"Inicia sesión en","The headline above the login section on the login page. This text is immediately followed by the server name.",,"Added in SCTO_v2.70.9.","Log in to"
web.forms.page.login.existing.account.text,"¿Ya tiene una cuenta de usuario en este servidor?","This is the hint text that appears above the login section on the login page.",,"Added in SCTO_v2.70.9.","Do you already have a user account on this server?"
web.forms.page.login.view.public.forms.text,"¿Quiere rellenar formularios sin iniciar sesión?","This is the hint text that appears on the login page above the button to view public forms without logging in.",,"Added in SCTO_v2.70.9.","Want to fill out forms without logging in?"
web.forms.page.login.view.public.forms.button,"Ver formularios públicos","This is the button label on the login page to view public forms without logging in.",,"Added in SCTO_v2.70.9.","View public forms"
web.forms.page.login.private.form.title,"Este formulario es privado","This is the title of the message box that appears when you follow a direct link to a private web form without being logged in.",,"Added in SCTO_v2.70.9.","This form is private"
web.forms.page.login.private.form.body.line1,"El formulario que está tratando de llenar ({0}) sólo puede ser accedido con una cuenta en {1}.","This is the first part of the message that appears when you follow a direct link to a private web form without being logged in. {0} gets replaced with the form ID. {1} gets replaced with the server URL. Both must be included in your translation.",,"Added in SCTO_v2.70.9.","The form you're attempting to fill out ({0}) can only be accessed with an account on {1}."
web.forms.page.login.private.form.body.line2,"Si no tiene una cuenta de usuario en este servidor, por favor contacte con la persona que le dio este enlace y pídale un nombre de usuario y una contraseña. O bien, pídale que permita a {0} para este formulario.","This is the second part of the message that appears when you follow a direct link to a private web form without being logged in. {0} gets replaced with a link to a documentation article on allowing anonymous access, and must be included in your translation.",,"Added in SCTO_v2.70.9.","If you do not have a user account on this server, please contact the person who gave you this link and ask them for a username and password. Or, ask them to allow {0} for this form."
web.forms.page.login.private.form.allow.anonymous.link,"permitir acceso anónimo","This is the label for the link in the previous term (web.forms.page.login.private.form.body.line2).",,"Added in SCTO_v2.70.9.","allow anonymous access"
web.forms.page.login.download.app.text,"¿Buscando la aplicación Collect?","This is the hint text that appears on the login page above the links to download the Collect app on the Apple App Store and Google Play Store.",,"Added in SCTO_v2.70.9.","Looking for the Collect app?"
