Term,Translation,Context,Reference,Comment,Reference translation
web.forms.page.filling.error.not.supported.web,"क्षमा करें, इस फ़ील्ड को प्रदर्शित करने में त्रुटि थी। वेब फॉर्म्स में निम्नलिखित विशेषता समर्थित नहीं है: {0}। वर्तमान फील्ड आपको इस फॉर्म को भरना  जारी रखने की अनुमति देने के लिए कमबैक अपीयरेंस का उपयोग कर सकता है। सर्वोत्तम परिणामों के लिए, इस फ़ॉर्म को भरने के लिए Android डिवाइस पर SurveyCTO Collect का उपयोग करें।","This is the error message that is displayed when the current field contains a feature that is unsupported in web forms, but may be supported in Collect for Android or Collect for iOS. {0} will be replaced with the specific feature name that is unsupported, and must be included in your translation.",,"I have reviewed and edited it!","Sorry, there was an error displaying this field. The following feature is not supported in web forms: {0}. The current field may be using a fallback appearance to allow you to continue filling out this form. For best results, use SurveyCTO Collect on an Android device to fill this form out."
web.forms.page.filling.popups.resume.different.caseid.message,"आप केस आईडी ""{0}"" के लिए एक नया फ़ॉर्म शुरू करने वाले हैं। हमने देखा कि आपने केस ID ""{1}"" के लिए फॉर्म भरना पूर्ण नहीं किया है। क्या आप उस फ़ॉर्म को भरना चाहते हैं, या एक नई शुरुआत करना चाहते हैं?","Whenever a user visits a form that they had already started filling out, SurveyCTO attempts to resume the partially-filled form from memory. If the partially-filled form has a different case ID than the current URL, a pop-up will appear with this message asking which form they wish to fill out. {0} will be replaced by the case ID from the current URL, and {1} will be replaced by the case ID from memory. Both {0} and {1} must be included in your translation.",,,"You are about to start a new form for case ID ""{0}"". We noticed that you haven't finished filling out the form for case ID ""{1}"". Do you want to resume filling out that form, or start a new one?"
web.forms.page.shared.form.last.saved,"अंतिम सहेजा गया","The label preceding the timestamp on all of the main menu sub-pages (only available to logged-in users).",,,"Last saved"
web.forms.page.shared.form.name,नाम,"The label preceding the form name on all of the main menu sub-pages for logged-in users.",,,Name
web.forms.page.shared.form.id,आईडी,"The label preceding the form ID on all of the main menu sub-pages.",,,ID
web.forms.page.shared.form.version,संस्करण,"The label preceding the form version on all the main menu sub-pages.",,,Version
web.forms.page.main.delete.saved.form.button,"सहेजे गए फ़ॉर्म को हटाएं","The button label on the main menu page (only available to logged-in users).",,,"Delete saved form"
web.forms.page.login.fill.web.data.collection.disabled.text,"(इस सर्वर के लिए वेब डेटा संग्रह सक्षम नहीं किया गया है, इसलिए आपको डेटा एकत्र करने के लिए मोबाइल ऐप का उपयोग करना होगा।)","Warning that appears when you access the login page but an admin has disabled web data collection.",,,"(Web data collection has not been enabled for this server, so you must use the mobile app to collect data.)"
web.forms.page.login.go.back.to.console.link,"सर्वर कंसोल में लॉग इन (प्रवेश) करने के लिए यहां क्लिक करें","Link for returning to the server console.",,,"Click here to login to the server console."
web.forms.page.login.fill.web.forms.anonymously.button,"गुमनाम रूप से (बिना पहचान बताये) वेब फ़ॉर्म भरें","The button label for filling web forms anonymously.",,,"Fill web forms anonymously"
web.forms.page.login.or.text,या,"This text separates the different form access options on the login page (fill forms anonymously, log in, or download the mobile app). Please note: this text will always be rendered in uppercase letters. ",,,Or
web.forms.page.login.servername.input,"सर्वर का नाम:","The label for the server name input on the login page.",,,"Server name:"
web.forms.page.login.username.input,"ईमेल पता या यूजरनेम:","The label for the username input on the login page.",,,"Email address or username:"
web.forms.page.login.username.placeholder,"आपका ईमेल या यूजरनेम","This is the placeholder for the username input on the login page.",,,"Your email or username"
web.forms.page.login.password.input,पासवर्ड,"The label for the password input on the login page.",,,Password:
web.forms.page.login.password.placeholder,"आपका पासवर्ड","This is the placeholder for the password input on the login page.",,,"Your password"
web.forms.page.login.back.button,"पीछे की ओर","The button label for changing the username for login. Appears when external authentication (SSO) is set up on the server, but the current username specified requires a password.",,,Back
web.forms.page.login.next.button,"आगे की ओर","The button label for proceeding with the login. Appears when external authentication (SSO) is set up on the server, but the current username specified requires a password.",,,Next
web.forms.page.login.login.button,"लॉग इन करें","The button label for logging in.",,,"Log in"
web.forms.page.login.terms.conditions.link,"नियम और शर्तें","The label for the terms and conditions link.",,,"Terms and conditions"
web.forms.page.login.brought.to.you.by.text,"द्वारा आपके लिए लाया गया ","Dobility branding. Appears only on the login page.",,,"Brought to you by"
web.forms.page.login.no.cookies.error,"ऐसा लगता है कि आपने अपने इंटरनेट ब्राउज़र की गोपनीयता सेटिंग्स में ""कुकी"" समर्थन को अक्षम कर दिया है, लेकिन SurveyCTO  को कार्य करने के लिए कुकीज़ की आवश्यकता होती है। इसलिए, जब तक आप कुकी को सक्षम नहीं करते हैं और इस पृष्ठ को रिफ्रेश नहीं करते हैं, तब तक आप लॉगिन करने में सक्षम नहीं होंगे।","Error message that appears when you try to log in with cookies disabled.",,,"It looks like you have disabled ""cookie"" support in your Internet browser's privacy settings, but SurveyCTO requires cookies to function. Therefore, you are unlikely to be able to login until you enable cookies and refresh this page."
web.forms.page.login.authentication.options.error,"मुझे खेद है लेकिन हम '{0}' के प्रमाणीकरण विकल्पों की पहचान नहीं कर सके।","Error message that appears when the server cannot identify authentication options for a username. {0} gets replaced with the attempted username and must be included in your translation.",,,"I'm sorry but we couldn't identify authentication options for '{0}'."
