Term,Translation,Context,Reference,Comment,Reference translation
web.forms.page.forms.header,ျဖည့္စြက္ရန္အလြတ္ပုံစံကိုေ႐ြးခ်ယ္ပါ။,The heading text at the top of the 'fill blank form' page.,,,Choose a blank form to fill out:
web.forms.page.forms.title,Form အလြတ္ကိုျဖည့္စြက္ပါ,The page title of the 'fill blank form' page.,,,Fill blank form
web.forms.page.main.download.app.button,Application ကို Download လုပ္ပါ။,The button label on the main menu page.,,,Download app
web.forms.page.main.edit.saved.form.button,မွတ္သားထားေသာ Form ကို ျပန္လည္ျပင္ဆင္ပါ,The button label on the main menu page (only available to logged-in users).,,,Edit saved form
web.forms.page.main.fill.blank.form.button,Form အလြတ္ကိုျဖည့္စြက္ပါ,The button label on the main menu page for logged-in users to get to the 'fill blank form' page.,,,Fill blank form
web.forms.page.main.manage.cases.button,Case မ်ားကိုစီမံခန္႔ခြဲပါ,The button label on the main menu page (only available to logged-in users).,,,Manage cases
web.forms.page.main.sub.title,လုံျခဳံၿပီးအရည္အေသြးျမင့္ေသာေဒတာစုေဆာင္းမွု,The page subheading on the main menu page (only visible to logged-in users).,,,"Secure, high quality data collection"
web.forms.page.main.title,ပင္မေ႐ြးခ်ယ္စရာေနရာ,The page title of the main menu page (only visible to logged-in users).,,,Main menu
web.forms.page.shared.form.delete.button,ဖ်က္ပါ,The button label for deleting a form on the 'delete saved form' page (only available to logged-in users).,,,Delete
web.forms.page.shared.form.fill.out,ျဖည့္သည္,The button label for filling out a form from any of the main menu sub-pages.,,,Fill out
web.forms.page.shared.form.resume.button,လက္ရွိေနရာမွျပန္စမည္,The button label for resuming a form from the 'edit saved form' page (only available to logged-in users).,,,Resume
web.forms.page.shared.form.title,ေခါင္းစဥ္,,,,Title
web.forms.page.shared.no.forms.msg,သာဓကမရွိပါ။,The message when there are no saved forms on any of the main menu pages (only available to logged-in users).,,,There are no instances.
web.forms.page.shared.return.to.main.page.button,main  menu သို႔ျပန္သြားသည္,The button label for returning to the main menu when you are on any of the main menu sub-pages.,,,Return to main menu
web.forms.page.filling.date.months.april,ဧၿပီလ,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,April
web.forms.page.filling.date.months.august,ၾသဂုတ္လ,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,August
web.forms.page.filling.date.months.december,ဒီဇင္ဘာလ,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,December
web.forms.page.filling.date.months.february,ေဖေဖာ္ဝါရီလ,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,February
web.forms.page.filling.date.months.january,ဇန္နဝါရီလ,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,January
web.forms.page.filling.date.months.july,ဇူလိုင္လ,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,July
web.forms.page.filling.date.months.june,ဇြန္,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,June
web.forms.page.filling.date.months.march,မတ္လ,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,March
web.forms.page.filling.date.months.may,ေမလ,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,May
web.forms.page.filling.date.months.november,နိုဝင္ဘာလ,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,November
web.forms.page.filling.date.months.october,ေအာက္တိုဘာလ,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,October
web.forms.page.filling.date.months.september,စက္တင္ဘာလ,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,September
web.forms.page.filling.error.not.supported.web,ဝမ္းနည္းပါသည္၊ ဤအကြက္တြင္တစ္ခုခုမွားေနသည္။ ေအာက္ပါအဂၤါရပ္ကိုဝဘ္ပုံစံျဖင့္မေထာက္ပံ့ပါ။ {0}။ အေကာင္းဆုံးရလဒ္မ်ားအတြက္ဤပုံစံကိုျဖည့္ရန္ SurveyCTO Collect ကို Android ဖုန္းတစ္ခုမွာအသုံးျပဳပါ,"This is the error message that is displayed when the current field contains a feature that is unsupported in web forms, but may be supported in Collect for Android or Collect for iOS. {0} will be replaced with the specific feature name that is unsupported, and must be included in your translation.",,,"Sorry, there was an error displaying this field. The following feature is not supported in web forms: {0}. The current field may be using a fallback appearance to allow you to continue filling out this form. For best results, use SurveyCTO Collect on an Android device to fill this form out."
web.forms.page.filling.popups.resume.different.caseid.message,"{0} Case ID အတြက္ပုံစံအသစ္တစ္ခုကိုသင္စေတာ့မည္။ သင့္အေနျဖင့္စာလုံးပုံစံ Case ID {1} ""ကိုျဖည့္စြက္ရန္မၿပီးေသးေၾကာင္းကြၽႏ္ုပ္တို႔သတိျပဳမိသည္။ သင္သည္ထိုပုံစံကိုျဖည့္စြက္။ အသစ္တစ္ခုကိုစတင္လိုပါသလား။","Whenever a user visits a form that they had already started filling out, SurveyCTO attempts to resume the partially-filled form from memory. If the partially-filled form has a different case ID than the current URL, a pop-up will appear with this message asking which form they wish to fill out. {0} will be replaced by the case ID from the current URL, and {1} will be replaced by the case ID from memory. Both {0} and {1} must be included in your translation.",,,"You are about to start a new form for case ID ""{0}"". We noticed that you haven't finished filling out the form for case ID ""{1}"". Do you want to resume filling out that form, or start a new one?"
web.forms.page.shared.form.last.saved,ေနာက္ဆုံးသိမ္းဆည္းခဲ့သည္,The label preceding the timestamp on all of the main menu sub-pages (only available to logged-in users).,,,Last saved
web.forms.page.shared.form.name,အမည္,The label preceding the form name on all of the main menu sub-pages for logged-in users.,,,Name
web.forms.page.shared.form.id,ID,The label preceding the form ID on all of the main menu sub-pages.,,,ID
web.forms.page.shared.form.version,Version ,The label preceding the form version on all the main menu sub-pages.,,,Version
web.forms.page.main.delete.saved.form.button,သိမ္းဆည္းထားေသာ formကိုဖ်က္ပါ,The button label on the main menu page (only available to logged-in users).,,,Delete saved form
web.forms.page.login.fill.web.data.collection.disabled.text,(ဤဆာဗာအတြက္ဝက္ဘ္ေဒတာစုေဆာင္းမႈကိုမဖြင့္ႏိုင္သျဖင့္သင္စုေဆာင္းရန္မိုဘိုင္းအက္ပ္ကိုအသုံးျပဳရမည္။) လိုင္းဖြင့္ရမည္ ,Warning that appears when you access the login page but an admin has disabled web data collection.,,,"(Web data collection has not been enabled for this server, so you must use the mobile app to collect data.)"
web.forms.page.login.go.back.to.console.link,Server သို႔ Login ဂင္ႏိုင္ရန္ ဤေနရာကိုႏွိပ္ပါ,Link for returning to the server console.,,,Click here to login to the server console.
web.forms.page.login.fill.web.forms.anonymously.button,ဝဘ္ပုံစံမ်ားကိုအမည္ဝွက္ျဖင့္ျဖည့္ပါ,The button label for filling web forms anonymously.,,,Fill web forms anonymously
web.forms.page.login.or.text,သို႔မဟုတ္ ,"This text separates the different form access options on the login page (fill forms anonymously, log in, or download the mobile app). Please note: this text will always be rendered in uppercase letters. ",,,Or
web.forms.page.login.servername.input,Server name:,The label for the server name input on the login page.,,,Server name:
web.forms.page.login.username.input,အီးေမးလ္သို႔မဟုတ္အသုံးျပဳသူအမည္,The label for the username input on the login page.,,,Email address or username:
web.forms.page.login.username.placeholder,သင္၏အီးေမးလ္သို႔မဟုတ္အသုံးျပဳသူအမည္,This is the placeholder for the username input on the login page.,,,Your email or username
web.forms.page.login.password.input,စကားဝွက္,The label for the password input on the login page.,,,Password:
web.forms.page.login.password.placeholder,သင္၏စကားဝွက္,This is the placeholder for the password input on the login page.,,,Your password
web.forms.page.login.back.button,ေနာက္ဆုတ္ပါ,"The button label for changing the username for login. Appears when external authentication (SSO) is set up on the server, but the current username specified requires a password.",,,Back
web.forms.page.login.next.button,ေရွ႕သို႔သြားပါ,"The button label for proceeding with the login. Appears when external authentication (SSO) is set up on the server, but the current username specified requires a password.",,,Next
web.forms.page.login.login.button,Log in,The button label for logging in.,,,Log in
web.forms.page.login.terms.conditions.link,စည္းကမ္းႏွင့္သတ္မွတ္ခ်က္မ်ား,The label for the terms and conditions link.,,,Terms and conditions
web.forms.page.login.brought.to.you.by.text,သင္ထံသို႔ယူေဆာင္သည္,Dobility branding. Appears only on the login page.,,,Brought to you by
web.forms.page.login.no.cookies.error,"သင္၏အင္တာနက္ browser ၏ privacy ခ်ိန္ညႇိခ်က္မ်ားတြင္ ""cookie"" အေထာက္အပံ့ကိုသင္ပိတ္ထားပုံရသည္၊ သို႔ေသာ္ SurveyCTO မွ cookies မ်ားကိုအလုပ္လုပ္ရန္လိုအပ္သည္။ ထို႔ေၾကာင့္၊ သင္သည္ cookies မ်ားကိုဖြင့ ္၍ ဤစာမ်က္ႏွာကိုအသစ္မခ်မွီတိုင္ေအာင္ login လုပ္ရန္မျဖစ္ႏိုင္ပါ။",Error message that appears when you try to log in with cookies disabled.,,,"It looks like you have disabled ""cookie"" support in your Internet browser's privacy settings, but SurveyCTO requires cookies to function. Therefore, you are unlikely to be able to login until you enable cookies and refresh this page."
web.forms.page.login.authentication.options.error,စိတ္မေကာင္းပါ။ '{0}' အတြက္ A\uthentication options ကိုကြၽႏ္ုပ္တို႔မသတ္မွတ္ႏိုင္ပါ။,Error message that appears when the server cannot identify authentication options for a username. {0} gets replaced with the attempted username and must be included in your translation.,,,I'm sorry but we couldn't identify authentication options for '{0}'.
