Term,Translation,Context,Reference,Comment,Reference translation
web.forms.page.main.fill.blank.form.button,ফাঁকা ফর্ম পূরণ করুন,The button label on the main menu page for logged-in users to get to the 'fill blank form' page.,,,Fill blank form
web.forms.page.main.manage.cases.button,কেস পরিচালনা করুন,The button label on the main menu page (only available to logged-in users).,,,Manage cases
web.forms.page.main.sub.title,"সুরক্ষিত, উচ্চ মানের ডেটা সংগ্রহ",The page subheading on the main menu page (only visible to logged-in users).,,,"Secure, high quality data collection"
web.forms.page.main.title,প্রধান মেনু,The page title of the main menu page (only visible to logged-in users).,,,Main menu
web.forms.page.session.error.resume.failed,শেষ সংরক্ষিত অবস্থান থেকে পুনরায় শুরু করা যাবে না: {0},"This is the error message that appears if you try to resume filling out a form from the last saved position, and an unknown error occurs. {0} gets replaced with the path to the last saved position, which includes the field name and the names of any field groups in which the field is located, and must be included in your translation.",,Added in SCTO_v2.70.8.,Cannot resume from the last saved position: {0}
web.forms.page.session.error.resume.point.invalid,সর্বশেষ সংরক্ষিত অবস্থানটি সমীক্ষায় কোনও জায়গার সাথে মেলে না: {0},"This is the error message that appears if you try to resume filling out a form from the last saved position, but the last saved position can't be found in the form. {0} gets replaced with the path to the last saved position, which includes the field name and the names of any field groups in which the field is located, and must be included in your translation.",,Added in SCTO_v2.70.8.,The last saved position could not match a place in the survey: {0}
web.forms.page.session.error.resume.point.not.found,"দুঃখিত, এই ফর্মটির পুনরায় শুরু করার জন্য কোনও সংরক্ষিত অবস্থান নেই।","This is the error message that appears if you try to resume filling out a form from the last saved position, but there is no restore point found.",,Added in SCTO_v2.70.8.,"Sorry, this form doesn't have a saved position from which to resume."
web.forms.page.session.error.session.expired,এই পৃষ্ঠার মেয়াদ শেষ হয়ে গেছে সম্ভবত আপনি দীর্ঘ সময় ধরে নিষ্ক্রিয় থাকায়। চালিয়ে যেতে এই পৃষ্ঠাটি রিফ্রেশ করুন।,This is the message that appears if you try to continue filling out a form but the session has expired.,,Added in SCTO_v2.70.8.,This page has expired probably because you have been inactive for a long time. Please refresh this page to continue.
web.forms.page.session.error.session.lost.message.body.anonymous,"আপনি কি আগে লগ ইন করেছিলেন? যদি তা হয় তবে আবার লগ ইন করতে {0} ক্লিক করুন। অন্যথায়, নতুন সেশন শুরু করতে {1} ক্লিক করুন।","When a form session is lost, and you are not logged in, this is the second part of the message that appears. {0} gets replaced with the text from the ""Log in"" button in the current language, and must be included in your translation. {1} gets replaced with the text from the ""Start over"" button in the current language and must be included in your translation.",,Added in SCTO_v2.70.8.,"Were you logged in before? If so, click {0} to log in again. Otherwise, click {1} to start a new session."
web.forms.page.session.error.session.lost.message.body.logged.in,একটি নতুন শুরু করতে দয়া করে {0} ক্লিক করুন।,"When a form session is lost, and you are logged in, this is the second part of the message that appears. {0} gets replaced with the text from the ""Start over"" button in the current language and must be included in your translation. ",,Added in SCTO_v2.70.8.,Please click {0} to start a new one.
web.forms.page.session.error.session.lost.message.prefix,"দুঃখিত, তবে আমরা আপনার সেশনটি খুঁজে পাচ্ছি না।","When a form session is lost, this is the first part of the message that appears.",,Added in SCTO_v2.70.8.,"I'm sorry, but we can't seem to find your session."
web.forms.page.session.error.session.lost.title,একটি ত্রুটি উৎপন্ন হয়েছে,"When a form session is lost, this is the page title for the error page you land on.",,Added in SCTO_v2.70.8.,An error has occurred
web.forms.page.shared.form.delete.button,বাদ দিন,The button label for deleting a form on the 'delete saved form' page (only available to logged-in users).,,,Delete
web.forms.page.shared.form.fill.out,পূর্ণ করা,The button label for filling out a form from any of the main menu sub-pages.,,,Fill out
web.forms.page.shared.form.resume.button,পুনরায় গ্রহণ করুন,The button label for resuming a form from the 'edit saved form' page (only available to logged-in users).,,,Resume
web.forms.page.shared.form.title,শিরোনাম,,,,Title
web.forms.page.shared.no.forms.msg,কোনও দৃষ্টান্ত নেই।,The message when there are no saved forms on any of the main menu pages (only available to logged-in users).,,,There are no instances.
web.forms.page.shared.return.to.main.page.button,প্রধান মেনুতে ফিরে আসুন,The button label for returning to the main menu when you are on any of the main menu sub-pages.,,,Return to main menu
web.forms.page.filling.date.months.april,এপ্রিল,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,April
web.forms.page.filling.date.months.august,আগস্ট,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,August
web.forms.page.filling.date.months.december,ডিসেম্বর,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,December
web.forms.page.filling.date.months.february,ফেব্রুয়ারী,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,February
web.forms.page.filling.date.months.january,জানুয়ারী,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,January
web.forms.page.filling.date.months.july,জুলাই,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,July
web.forms.page.filling.date.months.june,জুন,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,June
web.forms.page.filling.date.months.march,মার্চ,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,March
web.forms.page.filling.date.months.may,মে,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,May
web.forms.page.filling.date.months.november,নভেম্বর,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,November
web.forms.page.filling.date.months.october,অক্টোবর,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,October
web.forms.page.filling.date.months.september,সেপ্টেম্বর,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,September
web.forms.page.filling.error.not.supported.web,"দুঃখিত, এই ক্ষেত্রটি প্রদর্শন করতে একটি ত্রুটি হয়েছিল। নিম্নলিখিত বৈশিষ্ট্যটি ওয়েব ফর্মগুলিতে সমর্থিত নয়: {0} বর্তমান ক্ষেত্রটি আপনাকে ফর্মটি পূরণ করা চালিয়ে যাওয়ার অনুমতি দিতে ফ্যালব্যাক উপস্থিতি ব্যবহার করছে সেরা ফলাফলের জন্য, এই ফর্মটি পূরণ করতে কোনও অ্যান্ড্রয়েড ডিভাইসে সার্ভেসিটিও সংগ্রহ ব্যবহার করুন।","This is the error message that is displayed when the current field contains a feature that is unsupported in web forms, but may be supported in Collect for Android or Collect for iOS. {0} will be replaced with the specific feature name that is unsupported, and must be included in your translation.",,,"Sorry, there was an error displaying this field. The following feature is not supported in web forms: {0}. The current field may be using a fallback appearance to allow you to continue filling out this form. For best results, use SurveyCTO Collect on an Android device to fill this form out."
web.forms.page.filling.popups.resume.different.caseid.message,"আপনি কেস আইডি ""{0}"" এর জন্য একটি নতুন ফর্ম শুরু করতে চলেছেন। আমরা লক্ষ্য করেছি যে আপনি ""{1}"" কেস আইডির জন্য ফর্ম পূরণ করা শেষ করেন নি। আপনি কি সেই ফর্মটি পূরণ করা আবার শুরু করতে চান, বা একটি নতুন শুরু করতে চান?","Whenever a user visits a form that they had already started filling out, SurveyCTO attempts to resume the partially-filled form from memory. If the partially-filled form has a different case ID than the current URL, a pop-up will appear with this message asking which form they wish to fill out. {0} will be replaced by the case ID from the current URL, and {1} will be replaced by the case ID from memory. Both {0} and {1} must be included in your translation.",,,"You are about to start a new form for case ID ""{0}"". We noticed that you haven't finished filling out the form for case ID ""{1}"". Do you want to resume filling out that form, or start a new one?"
web.forms.page.shared.form.last.saved,সর্বশেষ সংরক্ষিত,The label preceding the timestamp on all of the main menu sub-pages (only available to logged-in users).,,,Last saved
web.forms.page.shared.form.name,নাম,The label preceding the form name on all of the main menu sub-pages for logged-in users.,,,Name
web.forms.page.shared.form.id,আইডি,The label preceding the form ID on all of the main menu sub-pages.,,,ID
web.forms.page.shared.form.version,সংস্করণ,The label preceding the form version on all the main menu sub-pages.,,,Version
web.forms.page.main.delete.saved.form.button,সংরক্ষিত ফর্ম মুছুন,The button label on the main menu page (only available to logged-in users).,,,Delete saved form
web.forms.page.login.fill.web.data.collection.disabled.text,"(ওয়েব সার্ভার সংগ্রহের জন্য এই সার্ভারটির জন্য সক্ষম করা হয়নি, তাই আপনাকে ডেটা সংগ্রহের জন্য অবশ্যই মোবাইল অ্যাপ্লিকেশনটি ব্যবহার করতে হবে)",Warning that appears when you access the login page but an admin has disabled web data collection.,,,"(Web data collection has not been enabled for this server, so you must use the mobile app to collect data.)"
web.forms.page.login.go.back.to.console.link,সার্ভার কনসোলটিতে লগইন করতে এখানে ক্লিক করুন।,Link for returning to the server console.,,,Click here to login to the server console.
web.forms.page.login.fill.web.forms.anonymously.button,বেনামে ওয়েব ফর্মগুলি পূরণ করুন,UNUSED: depreciated in SCTO_v2.70.9,,,Fill web forms anonymously
web.forms.page.login.or.text,বা,UNUSED: depreciated in SCTO_v2.70.9,,,Or
web.forms.page.login.servername.input,সার্ভার নাম:,The label for the server name input on the login page.,,,Server name:
web.forms.page.login.username.input,ইমেল ঠিকানা বা ব্যবহারকারীর নাম:,The label for the username input on the login page.,,,Email address or username:
web.forms.page.login.username.placeholder,আপনার ইমেল বা ব্যবহারকারীর নাম,This is the placeholder for the username input on the login page.,,,Your email or username
web.forms.page.login.password.input,পাসওয়ার্ড:,The label for the password input on the login page.,,,Password:
web.forms.page.login.password.placeholder,আপনার পাসওয়ার্ড,This is the placeholder for the password input on the login page.,,,Your password
web.forms.page.login.back.button,পেছনে,"The button label for changing the username for login. Appears when external authentication (SSO) is set up on the server, but the current username specified requires a password.",,,Back
web.forms.page.login.next.button,পরবর্তী,"The button label for proceeding with the login. Appears when external authentication (SSO) is set up on the server, but the current username specified requires a password.",,,Next
web.forms.page.login.login.button,প্রবেশ করুন,The button label for logging in.,,,Log in
web.forms.page.login.terms.conditions.link,শর্তাবলী,The label for the terms and conditions link.,,,Terms and conditions
web.forms.page.login.brought.to.you.by.text,দ্বারা আপনার জন্য তৈরি হয়েছে।,Dobility branding. Appears only on the login page.,,,Brought to you by
web.forms.page.login.no.cookies.error,"দেখে মনে হচ্ছে আপনি নিজের ইন্টারনেট ব্রাউজারের গোপনীয়তা সেটিংসে ""কুকি"" সমর্থন অক্ষম করেছেন, তবে সার্ভেসিটিওতে কুকিগুলির কাজ করতে হবে। অতএব, আপনি কুকিজ সক্ষম না করে এবং এই পৃষ্ঠাটি রিফ্রেশ না করা পর্যন্ত আপনি লগইন করতে সক্ষম হবেন না।",Error message that appears when you try to log in with cookies disabled.,,,"It looks like you have disabled ""cookie"" support in your Internet browser's privacy settings, but SurveyCTO requires cookies to function. Therefore, you are unlikely to be able to login until you enable cookies and refresh this page."
web.forms.page.login.authentication.options.error,আমি দুঃখিত তবে আমরা '{0}' এর জন্য প্রমাণীকরণ বিকল্পগুলি সনাক্ত করতে পারি না।,Error message that appears when the server cannot identify authentication options for a username. {0} gets replaced with the attempted username and must be included in your translation.,,,I'm sorry but we couldn't identify authentication options for '{0}'.
web.forms.page.login.headline,লগ ইন,The headline above the login section on the login page. This text is immediately followed by the server name.,,Added in SCTO_v2.70.9.,Log in to
web.forms.page.login.existing.account.text,আপনার কি ইতিমধ্যে এই সার্ভারে একটি ইউজার অ্যাকাউন্ট আছে?,This is the hint text that appears above the login section on the login page.,,Added in SCTO_v2.70.9.,Do you already have a user account on this server?
web.forms.page.login.view.public.forms.text,লগ ইন না করে ফর্মগুলি পূরণ করতে চান?,This is the hint text that appears on the login page above the button to view public forms without logging in.,,Added in SCTO_v2.70.9.,Want to fill out forms without logging in?
web.forms.page.login.view.public.forms.button,সর্বজনীন ফর্মগুলি দেখুন,This is the button label on the login page to view public forms without logging in.,,Added in SCTO_v2.70.9.,View public forms
web.forms.page.login.private.form.title,এই ফর্মটি ব্যক্তিগত,This is the title of the message box that appears when you follow a direct link to a private web form without being logged in.,,Added in SCTO_v2.70.9.,This form is private
web.forms.page.login.private.form.body.line1,আপনি যে ফর্মটি পূরণ করার চেষ্টা করছেন ({0}) কেবলমাত্র {1} এর অ্যাকাউন্ট দিয়ে অ্যাক্সেস করা যেতে পারে।,This is the first part of the message that appears when you follow a direct link to a private web form without being logged in. {0} gets replaced with the form ID. {1} gets replaced with the server URL. Both must be included in your translation.,,Added in SCTO_v2.70.9.,The form you're attempting to fill out ({0}) can only be accessed with an account on {1}.
web.forms.page.login.private.form.body.line2,"যদি এই সার্ভারে আপনার কোনও ব্যবহারকারী অ্যাকাউন্ট না থাকে তবে দয়া করে যিনি আপনাকে এই লিঙ্কটি দিয়েছেন তার সাথে যোগাযোগ করুন এবং তাদের ব্যবহারকারীর নাম এবং পাসওয়ার্ড জিজ্ঞাসা করুন। অথবা, তাদের এই ফর্মটির জন্য {0}এর অনুমতি দিতে বলুন।","This is the second part of the message that appears when you follow a direct link to a private web form without being logged in. {0} gets replaced with a link to a documentation article on allowing anonymous access, and must be included in your translation.",,Added in SCTO_v2.70.9.,"If you do not have a user account on this server, please contact the person who gave you this link and ask them for a username and password. Or, ask them to allow {0} for this form."
web.forms.page.login.private.form.allow.anonymous.link,বেনামে অ্যাক্সেসের অনুমতি দিন,This is the label for the link in the previous term (web.forms.page.login.private.form.body.line2).,,Added in SCTO_v2.70.9.,allow anonymous access
web.forms.page.login.download.app.text,কালেক্ট অ্যাপটি খুঁজছেন?,This is the hint text that appears on the login page above the links to download the Collect app on the Apple App Store and Google Play Store.,,Added in SCTO_v2.70.9.,Looking for the Collect app?
